K,Sample_Name,State,state_abbr,index,population_label,Longitude,Latitude,cluster,ancestry
2,Quercus_065,Louisiana,LA,05,05-Union (AR/LA),-92.3648,32.8913,cluster_1,1e-5
2,Quercus_065,Louisiana,LA,05,05-Union (AR/LA),-92.3648,32.8913,cluster_2,0.99999
2,Quercus_069,Louisiana,LA,05,05-Union (AR/LA),-92.36307,32.89212,cluster_1,1e-5
2,Quercus_069,Louisiana,LA,05,05-Union (AR/LA),-92.36307,32.89212,cluster_2,0.99999
2,Quercus_072,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17241,33.65793,cluster_1,0.083998
2,Quercus_072,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.17241,33.65793,cluster_2,0.916002
2,Quercus_075,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_1,0.99999
2,Quercus_075,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_2,1e-5
2,Quercus_076,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.116322,33.6862,cluster_1,0.030117
2,Quercus_076,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.116322,33.6862,cluster_2,0.969883
2,Quercus_078,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_1,0.99999
2,Quercus_078,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_2,1e-5
2,Quercus_080,Arkansas,AR,02,02-Hempstead (AR),-93.64827,33.768462,cluster_1,0.99999
2,Quercus_080,Arkansas,AR,02,02-Hempstead (AR),-93.64827,33.768462,cluster_2,1e-5
2,Quercus_082,Louisiana,LA,05,05-Union (AR/LA),-92.36326,32.89226,cluster_1,1e-5
2,Quercus_082,Louisiana,LA,05,05-Union (AR/LA),-92.36326,32.89226,cluster_2,0.99999
2,Quercus_085,Arkansas,AR,02,02-Hempstead (AR),-93.648914,33.768963,cluster_1,0.99999
2,Quercus_085,Arkansas,AR,02,02-Hempstead (AR),-93.648914,33.768963,cluster_2,1e-5
2,Quercus_086,Louisiana,LA,05,05-Union (AR/LA),-92.36302,32.89208,cluster_1,1e-5
2,Quercus_086,Louisiana,LA,05,05-Union (AR/LA),-92.36302,32.89208,cluster_2,0.99999
2,Quercus_087,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_1,0.029602
2,Quercus_087,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_2,0.970398
2,Quercus_090,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_1,1e-5
2,Quercus_090,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_2,0.99999
2,Quercus_092,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_1,0.99999
2,Quercus_092,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_2,1e-5
2,Quercus_094,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_1,1e-5
2,Quercus_094,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_2,0.99999
2,Quercus_099,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_1,1e-5
2,Quercus_099,Louisiana,LA,05,05-Union (AR/LA),-92.36463,32.89142,cluster_2,0.99999
2,Quercus_100,Arkansas,AR,02,02-Hempstead (AR),-93.8604,33.7368,cluster_1,0.314757
2,Quercus_100,Arkansas,AR,02,02-Hempstead (AR),-93.8604,33.7368,cluster_2,0.685243
2,Quercus_101,Louisiana,LA,05,05-Union (AR/LA),-92.36458,32.89093,cluster_1,1e-5
2,Quercus_101,Louisiana,LA,05,05-Union (AR/LA),-92.36458,32.89093,cluster_2,0.99999
2,Quercus_102,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.116322,33.6862,cluster_1,0.065073
2,Quercus_102,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.116322,33.6862,cluster_2,0.934927
2,Quercus_103,Arkansas,AR,02,02-Hempstead (AR),-93.648306,33.769511,cluster_1,0.99999
2,Quercus_103,Arkansas,AR,02,02-Hempstead (AR),-93.648306,33.769511,cluster_2,1e-5
2,Quercus_104,Arkansas,AR,02,02-Hempstead (AR),-93.648285,33.768616,cluster_1,0.839442
2,Quercus_104,Arkansas,AR,02,02-Hempstead (AR),-93.648285,33.768616,cluster_2,0.160558
2,Quercus_111,Louisiana,LA,05,05-Union (AR/LA),-92.36497,32.89137,cluster_1,1e-5
2,Quercus_111,Louisiana,LA,05,05-Union (AR/LA),-92.36497,32.89137,cluster_2,0.99999
2,Quercus_114,Louisiana,LA,05,05-Union (AR/LA),-92.36458,32.89093,cluster_1,1e-5
2,Quercus_114,Louisiana,LA,05,05-Union (AR/LA),-92.36458,32.89093,cluster_2,0.99999
