"missing_filter_percent","max_missing_rate","snps_left","informative_snps_left","snps_removed_from_final"
0,0,105,82,199
1,0.01,161,131,143
2,0.02,185,149,119
3,0.03,200,162,104
4,0.04,222,180,82
5,0.05,245,200,59
6,0.06,258,210,46
7,0.07,269,220,35
8,0.08,276,227,28
9,0.09,290,241,14
10,0.1,304,254,0
