Sample_Name,requested_species,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,bs_biosample_uid,bs_xml_accession,bs_xml_id,bs_access,bs_publication_date,bs_submission_date,bs_last_update,bs_sample_title,bs_owner,bs_model,bs_organism,bs_tax_id,bs_attr_ArrayExpress-SPECIES,bs_attr_ENA-CHECKLIST,bs_attr_ENA-FIRST-PUBLIC,bs_attr_ENA-LAST-UPDATE,bs_attr_ENA_first_public,bs_attr_External_Id,bs_attr_INSDC_center_alias,bs_attr_INSDC_center_name,bs_attr_INSDC_first_public,bs_attr_INSDC_last_update,bs_attr_INSDC_status,bs_attr_SUBJECT_ID,bs_attr_Submitter_Id,bs_attr_age,bs_attr_biomaterial_provider,bs_attr_collection_date,bs_attr_common_name,bs_attr_cultivar,bs_attr_dev_stage,bs_attr_ecotype,bs_attr_geo_loc_name,bs_attr_geographic_location_latitude,bs_attr_geographic_location_longitude,bs_attr_geographic_location_region_and_locality,bs_attr_isolate,bs_attr_lat_lon,bs_attr_organism,bs_attr_plant_struc,bs_attr_provenance,bs_attr_provenance_ID,bs_attr_sample_name,bs_attr_scientific_name,bs_attr_tissue,bs_id_biosample,bs_id_id,bs_id_sc,bs_id_sra
Quercus_336,Quercus_acutissima,SRR16248130,10/8/21 9:54,10/8/21 7:19,85268363,25580508900,85268363,300,10751,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR016/16248/SRR16248130/SRR16248130.lite.1,SRX12527959,Z0916-1-5_NDSW54452,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488222,SAMN22137883,simple,58330,Quercus acutissima,Z0916-1-5_NDSW54452,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,7B3598156A4AA1037AEE29378706B6E0,B16D463A02444F5B96457116310A99EC,22137883,SAMN22137883,22137883,public,2021-10-07T00:00:00.000,2021-10-07T20:57:03.903,2021-10-08T05:07:26.830,Plant sample from Quercus acutissima,Chinese Academy of Sciences,Plant,Quercus acutissima,58330,,,,,,,,,,,,,,not collected,,,,,not collected,not collected,China: Dalian,,,,Z0916-1-5_NDSW54452,,,,,,,,leaf,SAMN22137883,Z0916-1-5_NDSW54452,,SRS10488222
Quercus_337,Quercus_acutissima,SRR16248111,10/8/21 6:55,10/8/21 5:57,81975552,24592665600,81975552,300,9990,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16248/SRR16248111/SRR16248111.lite.1,SRX12527978,s0809-2-2_NDSW49956,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488241,SAMN22137856,simple,58330,Quercus acutissima,s0809-2-2_NDSW49956,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,A383A9E58D639BD642A4D8CD05FE1C19,F5E4588324AC619EC50EE919F20C19A6,22137856,SAMN22137856,22137856,public,2021-10-07T00:00:00.000,2021-10-07T20:57:03.390,2021-10-08T05:07:30.130,Plant sample from Quercus acutissima,Chinese Academy of Sciences,Plant,Quercus acutissima,58330,,,,,,,,,,,,,,not collected,,,,,not collected,not collected,China: Xingren,,,,s0809-2-2_NDSW49956,,,,,,,,leaf,SAMN22137856,s0809-2-2_NDSW49956,,SRS10488241
Quercus_338,Quercus_acutissima,SRR16248136,10/8/21 8:56,10/8/21 6:43,87303054,26190916200,87303054,300,10137,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16248/SRR16248136/SRR16248136.lite.1,SRX12527953,s0915-2-8_NDSW54441,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488216,SAMN22137880,simple,58330,Quercus acutissima,s0915-2-8_NDSW54441,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,DAEBF3A5AB0CF1DF97986DF8D7903E41,9F18A17899B31E2C8DB217F2B75E747A,22137880,SAMN22137880,22137880,public,2021-10-07T00:00:00.000,2021-10-07T20:57:03.847,2021-10-08T05:07:25.783,Plant sample from Quercus acutissima,Chinese Academy of Sciences,Plant,Quercus acutissima,58330,,,,,,,,,,,,,,not collected,,,,,not collected,not collected,China: Taian,,,,s0915-2-8_NDSW54441,,,,,,,,leaf,SAMN22137880,s0915-2-8_NDSW54441,,SRS10488216
Quercus_339,Quercus_acutissima,SRR16248089,10/8/21 8:56,10/8/21 6:44,115332836,34599850800,115332836,300,11097,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16248/SRR16248089/SRR16248089.lite.1,SRX12528000,GJDNA122_BDSW190003088-1a,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488263,SAMN22137858,simple,58330,Quercus acutissima,GJDNA122_BDSW190003088-1a,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,37B67108017EA3543060AAD6D1092294,9EA195F083D96B6EC62882B550B873E7,22137858,SAMN22137858,22137858,public,2021-10-07T00:00:00.000,2021-10-07T20:57:03.443,2021-10-08T05:07:34.160,Plant sample from Quercus acutissima,Chinese Academy of Sciences,Plant,Quercus acutissima,58330,,,,,,,,,,,,,,not collected,,,,,not collected,not collected,China: Rongjiang,,,,GJDNA122_BDSW190003088-1a,,,,,,,,leaf,SAMN22137858,GJDNA122_BDSW190003088-1a,,SRS10488263
Quercus_340,Quercus_acutissima,SRR16661031,2/3/22 8:01,11/6/21 0:02,94343509,28303052700,94343509,300,11025,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16661/SRR16661031/SRR16661031.lite.1,SRX12861773,L74,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP343961,PRJNA773751,,773751,SRS10805018,SAMN22511291,simple,58330,Quercus acutissima,s0916-2-12_NDSW54443,,,,,,,no,,,,,SOUTH CHINA BOTANICAL GARDEN,SRA1320079,,public,AAEA92705E27376046AF3DABE3626248,8C30410830D7F87D340C4CE965D4F9BC,22511291,SAMN22511291,22511291,public,2022-02-03T00:00:00.000,2021-10-22T14:10:05.130,2022-02-03T08:02:03.220,Plant sample from Quercus acutissima,South China Botanical Garden,Plant,Quercus acutissima,58330,,,,,,,,,,,,,,,,,,s0916-2-12_NDSW54443,s0916-2-12_NDSW54443,,China:Shandong,,,,,,,,,,,,Leaves,SAMN22511291,s0916-2-12_NDSW54443,,SRS10805018
Quercus_341,Quercus_variabilis,SRR26589720,4/7/25 5:08,10/30/23 23:28,115981668,34794500400,115981668,300,11402,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589720/SRR26589720.lite.1,SRX22290872,s0901-1-11_NDSW57002,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341831,SAMN38043997,simple,103481,Quercus variabilis,s0901-1-11_NDSW57002,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,E8D798FF69389D9FFDB4DC9E89FFDE44,AA0993D4F21B8842FD9779741E6C31D2,38043997,SAMN38043997,38043997,public,2025-04-07T00:00:00.000,2023-10-30T22:40:07.226,2025-04-07T05:09:03.885,Plant sample from Quercus variabilis,Chinese Academy of Sciences,Plant,Quercus variabilis,103481,,,,,,,,,,,,,,not collected,,not collected,,not collected,not collected,not collected,China: Tianshui,,,,66,,,,,,,,leaf,SAMN38043997,s0901-1-11_NDSW57002,,SRS19341831
Quercus_342,Quercus_variabilis,SRR26589721,4/7/25 5:08,10/30/23 23:39,100431234,30129370200,100431234,300,12565,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589721/SRR26589721.lite.1,SRX22290871,s0901-1-15_NDSW54435,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341833,SAMN38043996,simple,103481,Quercus variabilis,s0901-1-15_NDSW54435,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,59C1E46F247A7E0C5317D414A430D1CB,35822389FD2A25128CB760CA9309AF3C,38043996,SAMN38043996,38043996,public,2025-04-07T00:00:00.000,2023-10-30T22:40:07.216,2025-04-07T05:09:03.868,Plant sample from Quercus variabilis,Chinese Academy of Sciences,Plant,Quercus variabilis,103481,,,,,,,,,,,,,,not collected,,not collected,,not collected,not collected,not collected,China: Tianshui,,,,65,,,,,,,,leaf,SAMN38043996,s0901-1-15_NDSW54435,,SRS19341833
Quercus_343,Quercus_variabilis,SRR26589718,4/7/25 5:08,10/30/23 23:28,117172318,35151695400,117172318,300,11282,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589718/SRR26589718.lite.1,SRX22290874,s0901-1-17_NDSW57003,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341834,SAMN38043999,simple,103481,Quercus variabilis,s0901-1-17_NDSW57003,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,1943B2CBA3E7D99C4C71875CD3FDCB49,72056619BF8974721B96C02E69240952,38043999,SAMN38043999,38043999,public,2025-04-07T00:00:00.000,2023-10-30T22:40:07.250,2025-04-07T05:09:03.903,Plant sample from Quercus variabilis,Chinese Academy of Sciences,Plant,Quercus variabilis,103481,,,,,,,,,,,,,,not collected,,not collected,,not collected,not collected,not collected,China: Tianshui,,,,68,,,,,,,,leaf,SAMN38043999,s0901-1-17_NDSW57003,,SRS19341834
Quercus_344,Quercus_variabilis,SRR26589716,4/7/25 5:08,10/30/23 23:28,111030742,33309222600,111030742,300,10574,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589716/SRR26589716.lite.1,SRX22290876,s0904-1-15_NDSW57004,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341836,SAMN38044001,simple,103481,Quercus variabilis,s0904-1-15_NDSW57004,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,B9DDF84D29269049A64CC83B2C8BD52B,AF86CD4B250F9C0D389DD4E5682E50CE,38044001,SAMN38044001,38044001,public,2025-04-07T00:00:00.000,2023-10-30T22:40:07.270,2025-04-07T05:09:02.560,Plant sample from Quercus variabilis,Chinese Academy of Sciences,Plant,Quercus variabilis,103481,,,,,,,,,,,,,,not collected,,not collected,,not collected,not collected,not collected,China: Xian,,,,70,,,,,,,,leaf,SAMN38044001,s0904-1-15_NDSW57004,,SRS19341836
Quercus_345,Quercus_variabilis,SRR26589715,4/7/25 5:08,10/30/23 23:33,84257465,25277239500,84257465,300,9789,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589715/SRR26589715.lite.1,SRX22290877,s0712-4-1_NDSW49925,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341837,SAMN38043939,simple,103481,Quercus variabilis,s0712-4-1_NDSW49925,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,F0F374903D2169EB3312F8A5654C3094,AB0200874E29DD1CCB6FA264D606E546,38043939,SAMN38043939,38043939,public,2025-04-07T00:00:00.000,2023-10-30T22:40:06.556,2025-04-07T05:09:04.032,Plant sample from Quercus variabilis,Chinese Academy of Sciences,Plant,Quercus variabilis,103481,,,,,,,,,,,,,,not collected,,not collected,,not collected,not collected,not collected,China: Changsha,,,,8,,,,,,,,leaf,SAMN38043939,s0712-4-1_NDSW49925,,SRS19341837
