requested_species,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
Quercus_acutissima,SRR16248130,2021-10-08 09:54:35,2021-10-08 07:19:13,85268363,25580508900,85268363,300,10751,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR016/16248/SRR16248130/SRR16248130.lite.1,SRX12527959,Z0916-1-5_NDSW54452,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488222,SAMN22137883,simple,58330,Quercus acutissima,Z0916-1-5_NDSW54452,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,7B3598156A4AA1037AEE29378706B6E0,B16D463A02444F5B96457116310A99EC
Quercus_acutissima,SRR16248111,2021-10-08 06:55:44,2021-10-08 05:57:57,81975552,24592665600,81975552,300,9990,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16248/SRR16248111/SRR16248111.lite.1,SRX12527978,s0809-2-2_NDSW49956,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488241,SAMN22137856,simple,58330,Quercus acutissima,s0809-2-2_NDSW49956,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,A383A9E58D639BD642A4D8CD05FE1C19,F5E4588324AC619EC50EE919F20C19A6
Quercus_acutissima,SRR16248136,2021-10-08 08:56:49,2021-10-08 06:43:53,87303054,26190916200,87303054,300,10137,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16248/SRR16248136/SRR16248136.lite.1,SRX12527953,s0915-2-8_NDSW54441,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488216,SAMN22137880,simple,58330,Quercus acutissima,s0915-2-8_NDSW54441,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,DAEBF3A5AB0CF1DF97986DF8D7903E41,9F18A17899B31E2C8DB217F2B75E747A
Quercus_acutissima,SRR16248089,2021-10-08 08:56:50,2021-10-08 06:44:05,115332836,34599850800,115332836,300,11097,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16248/SRR16248089/SRR16248089.lite.1,SRX12528000,GJDNA122_BDSW190003088-1a,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340491,PRJNA769460,,769460,SRS10488263,SAMN22137858,simple,58330,Quercus acutissima,GJDNA122_BDSW190003088-1a,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1307771,,public,37B67108017EA3543060AAD6D1092294,9EA195F083D96B6EC62882B550B873E7
Quercus_acutissima,SRR16661031,2022-02-03 08:01:16,2021-11-06 00:02:16,94343509,28303052700,94343509,300,11025,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16661/SRR16661031/SRR16661031.lite.1,SRX12861773,L74,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP343961,PRJNA773751,,773751,SRS10805018,SAMN22511291,simple,58330,Quercus acutissima,s0916-2-12_NDSW54443,,,,,,,no,,,,,SOUTH CHINA BOTANICAL GARDEN,SRA1320079,,public,AAEA92705E27376046AF3DABE3626248,8C30410830D7F87D340C4CE965D4F9BC
Quercus_variabilis,SRR26589720,2025-04-07 05:08:45,2023-10-30 23:28:32,115981668,34794500400,115981668,300,11402,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589720/SRR26589720.lite.1,SRX22290872,s0901-1-11_NDSW57002,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341831,SAMN38043997,simple,103481,Quercus variabilis,s0901-1-11_NDSW57002,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,E8D798FF69389D9FFDB4DC9E89FFDE44,AA0993D4F21B8842FD9779741E6C31D2
Quercus_variabilis,SRR26589721,2025-04-07 05:08:45,2023-10-30 23:39:51,100431234,30129370200,100431234,300,12565,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589721/SRR26589721.lite.1,SRX22290871,s0901-1-15_NDSW54435,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341833,SAMN38043996,simple,103481,Quercus variabilis,s0901-1-15_NDSW54435,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,59C1E46F247A7E0C5317D414A430D1CB,35822389FD2A25128CB760CA9309AF3C
Quercus_variabilis,SRR26589718,2025-04-07 05:08:46,2023-10-30 23:28:17,117172318,35151695400,117172318,300,11282,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589718/SRR26589718.lite.1,SRX22290874,s0901-1-17_NDSW57003,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341834,SAMN38043999,simple,103481,Quercus variabilis,s0901-1-17_NDSW57003,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,1943B2CBA3E7D99C4C71875CD3FDCB49,72056619BF8974721B96C02E69240952
Quercus_variabilis,SRR26589716,2025-04-07 05:08:46,2023-10-30 23:28:05,111030742,33309222600,111030742,300,10574,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589716/SRR26589716.lite.1,SRX22290876,s0904-1-15_NDSW57004,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341836,SAMN38044001,simple,103481,Quercus variabilis,s0904-1-15_NDSW57004,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,B9DDF84D29269049A64CC83B2C8BD52B,AF86CD4B250F9C0D389DD4E5682E50CE
Quercus_variabilis,SRR26589715,2025-04-07 05:08:46,2023-10-30 23:33:58,84257465,25277239500,84257465,300,9789,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR026/26589/SRR26589715/SRR26589715.lite.1,SRX22290877,s0712-4-1_NDSW49925,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469242,PRJNA1033777,,1033777,SRS19341837,SAMN38043939,simple,103481,Quercus variabilis,s0712-4-1_NDSW49925,,,,,,,no,,,,,CHINESE ACADEMY OF SCIENCES,SRA1742005,,public,F0F374903D2169EB3312F8A5654C3094,AB0200874E29DD1CCB6FA264D606E546
